EnglishWord,WordType,Level,Translation,ExampleSentenceEn,ExampleSentenceTR
fascination,noun,B2,büyüleyici,His fascination with history led him to pursue a degree in archaeology.,Tarihe olan ilgisi onu arkeoloji okumaya yönlendirdi.
fashion,noun,A2,moda,Paris is known as a center of fashion and style.,Paris moda ve stilin merkezi olarak bilinir.
fashionable,adjective,B1,moda,She always wears the most fashionable outfits to parties.,Partilere her zaman en modaya uygun kıyafetlerle gider.
fast,adjective,A1,hızlı,The car is incredibly fast reaching speeds of over 200 mph.,Araba inanılmaz derecede hızlı saatte 200 milin üzerinde hıza ulaşıyor.
fast,adverb,A1,hızlı,He ran fast to catch the last train home.,Son treni yakalamak için hızlı koştu.
fast food,noun,A2,Fast food,Many people enjoy eating fast food for its convenience.,Birçok insan pratik olması nedeniyle fast food yemeyi seviyor.
fasten,verb,B1,tutturmak,Please fasten your seatbelt before the plane takes off.,Uçak kalkmadan önce lütfen emniyet kemerinizi bağlayın.
fat,adjective,A1,yağ,The cat has become quite fat because it eats too much.,Kedi çok fazla yemek yediği için oldukça şişmanladı.
fat,noun,B2,yağ,You should avoid eating too much fat in your diet.,Diyetinizde çok fazla yağ tüketmekten kaçınmalısınız.
fatal,adjective,B2,ölümcül,The accident was fatal and unfortunately no one survived.,Kaza ölümcüldü ve maalesef kimse kurtulamadı.
fate,noun,B2,kader,Some people believe that fate controls their destiny.,Bazı insanlar kaderin yazgılarını kontrol ettiğine inanır.
father,noun,A1,baba,My father works as a doctor in a local hospital.,Babam yerel bir hastanede doktor olarak çalışıyor.
father in law,noun,B2,kayınpeder,He spends a lot of time helping his father in law with home repairs.,Kayınpederine ev tamirlerinde yardım ederek çok zaman harcıyor.
fault,noun,A2,arıza,The car has a mechanical fault that needs fixing.,Arabanın düzeltilmesi gereken bir mekanik arızası var.
faulty,adjective,B2,hatalı,The company recalled the faulty products due to safety concerns.,Şirket güvenlik endişeleri nedeniyle hatalı ürünleri geri çağırdı.
favor/favour,noun,A2,iyilik,Could you do me a favor and pick up some groceries?,Bana bir iyilik yapar mısın ve market alışverişini alır mısın?
favorable/favourable,adjective,B1,olumlu,The weather conditions were favorable for hiking today.,Bugün yürüyüş için hava koşulları uygundu.
favorite/favourite,adjective,A1,en sevdiğin favorin,Pizza is my favorite food especially with extra cheese.,Pizza özellikle ekstra peynirle en sevdiğim yiyecektir.
favorite/favourite,noun,A1,en sevdiğin favorin,That restaurant is my absolute favorite in the city.,O restoran şehirdeki en sevdiğim yerdir.
fax,noun,B1,faks,She sent the documents via fax to the main office.,Belgeleri ana ofise faks yoluyla gönderdi.
fax,verb,B1,faks,Could you fax these forms to our accountant please?,Bu formları muhasebecimize fakslayabilir misin lütfen?
fear,noun,A2,korku,She has a fear of heights and avoids tall buildings.,Yükseklik korkusu var ve yüksek binalardan kaçınıyor.
fear,verb,B2,korku,I fear that we may be too late to catch the flight.,Uçağı yakalamak için çok geç kalmış olabileceğimizden korkuyorum.
fearsome,adjective,B2,korkunç,The lion is a fearsome predator ruling the savannah with its power.,Aslan gücüyle savanayı yöneten korkunç bir avcıdır.
feast,noun,B1,bayram,We had a huge feast to celebrate the holiday with friends and family.,Bayramı arkadaşlar ve aile ile kutlamak için büyük bir ziyafet verdik.
feat,noun,B2,ustalık,Climbing Mount Everest is considered a remarkable feat of endurance.,Everest Dağına tırmanmak olağanüstü bir dayanıklılık başarısı olarak kabul edilir.
feather,noun,A2,tüy,The birds feathers were soft and colorful.,Kuşun tüyleri yumuşak ve renklidir.
feature,noun,A2,özellik,The new phone has several impressive features including a high quality camera.,Yeni telefonun yüksek kaliteli bir kamera dahil olmak üzere birçok etkileyici özelliği var.
feature,verb,B2,özellik,The movie will feature several famous actors from around the world.,Film dünyanın dört bir yanından birçok ünlü aktörü içerecek.
February,noun,A1,Şubat,Her birthday is on the 14th of February which is also Valentines Day.,Doğum günü 14 Şubatta aynı zamanda Sevgililer Günüdür.
fed up,adjective,B2,bıkkın,Im fed up with all the noise and chaos in the office.,Ofisteki tüm gürültü ve kargaşadan bıktım.
federal,adjective,B2,federal,The federal government is responsible for national policies.,Federal hükümet ulusal politikalardan sorumludur.
fee,noun,A2,ücret,There is a small fee to enter the museum.,Müzeye giriş için küçük bir ücret var.
feed,noun,A1,beslemek,The farmer bought feed for the chickens.,Çiftçi tavuklar için yem aldı.
feed,verb,B1,beslemek,She feeds her dog twice a day with healthy organic food.,Köpeğini günde iki kez sağlıklı organik yiyeceklerle besler.
feedback,noun,B2,geri bildirim,The manager asked for feedback from the team after the project was completed.,Yönetici proje tamamlandıktan sonra ekipten geri bildirim istedi.
feel,noun,A2,hissetmek,I have a good feeling about this job interview.,Bu iş görüşmesi hakkında iyi bir hissim var.
feel,verb,A1,hissetmek,I feel much better after taking the medicine.,İlacı aldıktan sonra çok daha iyi hissediyorum.
feeling,noun,A1,his,The feeling of excitement was overwhelming as the concert began.,Konser başladığında heyecan duygusu büyüleyiciydi.
fellow,adjective,B2,aynı tür,He greeted his fellow travelers with a smile.,Seyahat arkadaşlarını gülümseyerek selamladı.
fellow,noun,B1,aynı tür,Shes a fellow student in my biology class.,O biyoloji sınıfımdaki bir sınıf arkadaşı.
female,adjective,A2,dişi,The female athlete won the gold medal in the competition.,Kadın sporcu yarışmada altın madalya kazandı.
female,noun,B2,dişi,Many of the worlds leading scientists are female.,Dünyanın önde gelen bilim insanlarının çoğu kadındır.
fence,noun,A2,çit,The garden is surrounded by a wooden fence to keep the animals out.,Bahçe hayvanları uzak tutmak için ahşap bir çitle çevrilidir.
ferry,noun,B1,feribot,We took a ferry across the river to get to the island.,Adaya ulaşmak için nehir boyunca bir feribotla geçtik.
ferryboat,noun,B2,feribot,The ferryboat transported cars and passengers across the bay.,Feribot koy boyunca arabaları ve yolcuları taşıdı.
festival,noun,A1,festival,The city hosts a famous music festival every summer.,Şehir her yaz ünlü bir müzik festivali düzenler.
festive,adjective,B1,festival,The streets were decorated with festive lights for the holiday season.,Sokaklar tatil sezonu için şenlik ışıklarıyla süslenmişti.
fetch,verb,B1,gidip getirmek,Could you please fetch me a glass of water from the kitchen?,Mutfaktan bana bir bardak su getirir misin lütfen?
fever,noun,A1,ateş,She had a high fever last night so we took her to the doctor.,Dün gece yüksek ateşi vardı bu yüzden onu doktora götürdük.
feverishly,adverb,B1,hararetli bir şekilde,He worked feverishly to finish the project before the deadline.,Projeyi teslim tarihinden önce bitirmek için harıl harıl çalıştı.
few,determiner,A2,birkaç,Only a few people attended the meeting this morning.,Bu sabahki toplantıya yalnızca birkaç kişi katıldı.
few,pronoun,B1,birkaç,Few of us knew about the changes in the schedule.,Aramızdan çok azı programdaki değişiklikleri biliyordu.
fiber/fibre,noun,B2,lif,Fiber rich foods like fruits and vegetables are essential for a healthy diet.,Meyve ve sebzeler gibi lif açısından zengin yiyecekler sağlıklı bir diyet için gereklidir.
fiction,noun,A2,kurgu,I prefer reading fiction because it allows me to escape into another world.,Kurgusal kitaplar okumayı tercih ediyorum çünkü beni başka bir dünyaya götürüyor.
fictional,adjective,B2,kurgusal,The book is set in a fictional universe with dragons and magic.,Kitap ejderhaların ve büyünün olduğu kurgusal bir evrende geçiyor.
field,noun,A1,alan,The soccer match took place in a large field near the stadium.,Futbol maçı stadyumun yakınındaki büyük bir sahada yapıldı.
fierce,adjective,B2,şiddetli,The fierce storm caused a lot of damage to the coastal town.,Şiddetli fırtına sahil kasabasına büyük zarar verdi.
fifteen,number,A1,on beş,There are fifteen students in my class.,Sınıfımda on beş öğrenci var.
fifth,noun,B1,beşinci,She came in fifth place in the race which is still an impressive achievement.,Yarışta beşinci oldu bu hala etkileyici bir başarı.
fifty,number,A1,elli,My grandmother turned fifty last year but she looks much younger.,Büyükannem geçen yıl elli yaşına girdi ama çok daha genç görünüyor.
fight,noun,A1,kavga,There was a fight between two students in the schoolyard today.,Bugün okul bahçesinde iki öğrenci arasında bir kavga çıktı.
fight,verb,B1,kavga,He had to fight hard to win the championship title.,Şampiyonluk unvanını kazanmak için çok mücadele etmek zorunda kaldı.
fighter,noun,A2,savaşçı,The fighter showed great bravery in battle.,Dövüşçü savaşta büyük cesaret gösterdi.
fighting,noun,B2,savaş,The fighting between the two sides lasted for weeks.,İki taraf arasındaki çatışma haftalarca sürdü.
figurative,adjective,B2,mecazi,The poet used figurative language to express deep emotions.,Şair derin duyguları ifade etmek için mecazi dil kullandı.
figure,noun,A2,figür,The figure in the painting seems to be staring directly at you.,Tablodaki figür sanki doğrudan sana bakıyormuş gibi görünüyor.
figure,verb,A2,figür,I figure it will take about an hour to get to the destination.,Hedefe ulaşmamızın yaklaşık bir saat süreceğini tahmin ediyorum.
file,noun,A1,dosya,I need to organize my files before the meeting.,Toplantıdan önce dosyalarımı düzenlemem gerekiyor.
file,verb,B2,dosya,She filed all the documents in alphabetical order.,Tüm belgeleri alfabetik sıraya göre dosyaladı.
filial,adjective,B2,evlat,He has always shown filial devotion to his parents.,Her zaman ebeveynlerine karşı evlat bağlılığı göstermiştir.
fill,verb,A1,doldurmak,Please fill the bottle with water before we go.,Gitmeden önce lütfen şişeyi su ile doldur.
filling,noun,B1,dolgu,I need to get a filling for my tooth at the dentist tomorrow.,Yarın dişçide dişim için dolgu yaptırmam gerekiyor.
film,noun,A2,film,We watched a classic film at the cinema last night.,Dün gece sinemada klasik bir film izledik.
film,verb,B1,film,The crew is planning to film the documentary in Africa next year.,Ekip gelecek yıl Afrikada belgesel çekmeyi planlıyor.
film maker,noun,B1,film yapımcısı,The film maker won an award for best director.,Yönetmen en iyi yönetmen ödülünü kazandı.
filter,noun,B1,filtre,You should replace the air filter in your car regularly.,Arabanızdaki hava filtresini düzenli olarak değiştirmelisiniz.
final,adjective,A2,son,The final exam will cover everything we learned this semester.,Final sınavı bu dönem öğrendiğimiz her şeyi kapsayacak.
final,noun,A2,son,The final of the tennis tournament is scheduled for next weekend.,Tenis turnuvasının finali gelecek hafta sonuna planlandı.
finally,adverb,A2,sonunda,After weeks of waiting they finally received their visa.,Haftalarca bekledikten sonra nihayet vizelerini aldılar.
finance,noun,B2,finans,He decided to pursue a career in finance after graduating from university.,Üniversiteden mezun olduktan sonra finans alanında kariyer yapmaya karar verdi.
finance,verb,B1,finans,The project is being financed by a large international organization.,Proje büyük bir uluslararası kuruluş tarafından finanse ediliyor.
financial,adjective,B1,parasal,The company is experiencing some financial difficulties this year.,Şirket bu yıl bazı finansal zorluklar yaşıyor.
financially,adverb,B2,finansal olarak,They are financially stable enough to buy a house in the city.,Şehirde bir ev alacak kadar finansal olarak istikrarlılar.
find,verb,A1,bulmak,I couldnt find my keys anywhere so I was late for work.,Anahtarlarımı hiçbir yerde bulamadım bu yüzden işe geç kaldım.
finding,noun,B1,bulma,The scientist shared her findings at the conference.,Bilim insanı bulgularını konferansta paylaştı.
fine,adjective,A1,iyi,Everything is going fine with the new project.,Yeni proje gayet iyi gidiyor.
fine,adverb,B2,iyi,He plays the piano fine but not as well as his sister.,Piyanoyu iyi çalıyor ama kız kardeşi kadar iyi değil.
fine,noun,B1,iyi,She had to pay a fine for parking illegally.,Yasadışı park ettiği için ceza ödemek zorunda kaldı.
